epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,414.509,1.01949,0.75051,1.36899,0.75425,0.78368,0.81385,0.52568,1.28489,0.91484,1.71055,0.000532398,0.000532398,0.000532398
57,421.929,1.0194,0.73972,1.37747,0.78363,0.77253,0.80777,0.52517,1.27725,0.92516,1.74588,0.000511769,0.000511769,0.000511769
58,429.312,1.01942,0.73983,1.35774,0.79018,0.75844,0.8024,0.5199,1.30286,0.92583,1.74614,0.00049114,0.00049114,0.00049114
59,436.772,0.99485,0.72086,1.35992,0.81968,0.76534,0.81751,0.53318,1.2935,0.91066,1.75938,0.000470511,0.000470511,0.000470511
60,444.186,1.0102,0.748,1.37471,0.79005,0.77143,0.81351,0.51775,1.2864,0.90004,1.74866,0.000449882,0.000449882,0.000449882
61,451.507,1.00306,0.73449,1.35506,0.83856,0.7497,0.81853,0.53123,1.2962,0.9353,1.76457,0.000429253,0.000429253,0.000429253
62,459.103,0.98095,0.71601,1.3355,0.77488,0.78841,0.81424,0.52667,1.29585,0.91754,1.73892,0.000408623,0.000408623,0.000408623
63,466.552,0.97979,0.70277,1.34024,0.82384,0.7647,0.82256,0.52918,1.30572,0.91227,1.75236,0.000387994,0.000387994,0.000387994
64,473.83,0.99545,0.71904,1.35007,0.79211,0.78397,0.81953,0.52327,1.31331,0.86905,1.74583,0.000367365,0.000367365,0.000367365
65,481.067,0.98221,0.701,1.33501,0.80547,0.75688,0.81641,0.53196,1.3021,0.92786,1.74976,0.000346736,0.000346736,0.000346736
66,488.234,0.96022,0.6876,1.34702,0.80373,0.75775,0.80676,0.52219,1.29935,0.94669,1.74567,0.000326107,0.000326107,0.000326107
67,495.595,0.97858,0.68547,1.33527,0.82069,0.75055,0.81729,0.53424,1.28899,0.89396,1.72987,0.000305478,0.000305478,0.000305478
68,502.984,0.98352,0.67681,1.32894,0.83017,0.7645,0.82201,0.53846,1.28366,0.88492,1.71653,0.000284849,0.000284849,0.000284849
69,510.298,0.96295,0.68762,1.32059,0.7968,0.7728,0.80814,0.53097,1.30327,0.90308,1.74124,0.00026422,0.00026422,0.00026422
70,517.856,0.95183,0.68529,1.31563,0.79826,0.76966,0.81317,0.52943,1.29059,0.90865,1.7304,0.00024359,0.00024359,0.00024359
71,552.338,0.8799,0.60753,1.34927,0.80307,0.75998,0.81305,0.52312,1.29766,0.89626,1.75164,0.000222961,0.000222961,0.000222961
72,559.735,0.84146,0.5639,1.33405,0.81998,0.75671,0.82072,0.52702,1.30831,0.91046,1.75016,0.000202332,0.000202332,0.000202332
73,567.149,0.8427,0.55882,1.32891,0.81588,0.75664,0.8156,0.52142,1.2988,0.91604,1.72185,0.000181703,0.000181703,0.000181703
74,574.836,0.82919,0.55451,1.31112,0.799,0.75834,0.80609,0.52107,1.2888,0.93509,1.73006,0.000161074,0.000161074,0.000161074
75,582.322,0.81401,0.53179,1.30185,0.79209,0.77689,0.81078,0.52646,1.29749,0.9126,1.74089,0.000140445,0.000140445,0.000140445
76,589.733,0.8153,0.53225,1.31784,0.84001,0.7332,0.81958,0.53199,1.29808,0.90305,1.73608,0.000119816,0.000119816,0.000119816
77,596.989,0.79598,0.5216,1.2804,0.82232,0.75174,0.81667,0.53351,1.2824,0.89519,1.72364,9.91865e-05,9.91865e-05,9.91865e-05
78,604.404,0.80803,0.5426,1.29896,0.81419,0.7511,0.81539,0.52804,1.28499,0.91096,1.72053,7.85574e-05,7.85574e-05,7.85574e-05
79,611.772,0.78963,0.51774,1.28313,0.81915,0.74998,0.81719,0.53059,1.28616,0.91144,1.72818,5.79283e-05,5.79283e-05,5.79283e-05
80,619.083,0.7965,0.52066,1.28921,0.82852,0.74146,0.8157,0.53048,1.28535,0.91305,1.73135,3.72991e-05,3.72991e-05,3.72991e-05
